FD,time,apache 
3073,1767,60
3073,1768,60
3073,1769,60
3073,1770,60
3082,1771,60
3082,1772,60
3082,1773,60
3080,1774,60
3080,1775,60
3080,1776,60
3081,1777,60
3079,1778,60
3082,1779,60
3082,1780,60
3080,1781,60
3080,1782,60
3080,1783,60
3079,1784,60
3082,1785,60
3082,1786,60
3082,1787,60
3082,1788,60
3079,1789,60
3079,1790,60
3082,1791,60
3083,1792,60
3081,1793,60
3080,1794,60
3082,1795,60
3080,1796,60
3080,1797,60
3079,1798,60
3079,1799,60
3082,1800,60
3082,1801,60
3082,1802,60
3082,1803,60
3082,1804,60
3112,1805,60
3116,1806,60
3112,1807,60
3112,1808,60
3112,1809,60
3112,1810,60
3112,1811,60
3112,1812,60
3111,1813,60
3110,1814,60
3112,1815,60
3112,1816,60
3112,1817,60
3112,1818,60
3112,1819,60
3112,1820,60
3112,1821,60
3112,1822,60
3112,1823,60
3112,1824,60
3114,1825,60
3112,1826,60
3103,1827,60
3103,1828,60
3103,1829,60
3106,1830,60
3103,1831,60
3103,1832,60
3103,1833,60
3103,1834,60
3106,1835,60
3103,1836,60
3106,1837,60
3103,1838,60
3103,1839,60
3103,1840,60
